Identifier,Version No,Category,Topics,Type,Text,Status,Version Date,Notation,Document Version
1,1,Standards for Tenement Types,General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic),Condition,Survey.,Inactive,01/01/2000 00:00:00 onwards,,Jun-17
2,3,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining - operations) Mining Lease for Gold (Basic) Miscellaneous Licence (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Endorsement,The **LESSEE**'s attention is drawn to the provisions of the Aboriginal Heritage Act 1972 and any Regulations thereunder.,Active,20/11/2006 00:00:00 - onwards,Imposed on ALL Tenements..,Feb-20
2,3,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Miscellaneous Licence (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Endorsement,The **LESSEE**'s attention is drawn to the provisions of the Aboriginal Heritage Act 1972 and any Regulations thereunder.,Active,20/11/2006 00:00:00 onwards,Imposed on ALL Tenements..,Jun-17
3,5,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All surface holes drilled for the purpose of exploration are to be capped, filled or otherwise made safe immediately after completion.",Inactive,17/01/2012 00:00:02 onwards,"Impose on all P, E, R and M",Jun-17
4,8,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines and Petroleum (DMP). Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMP.",Active,17/01/2012 00:00:03 onwards,"Impose on all P, E, R, and M",Jun-17
4,8,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines and Petroleum (DMP). Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMP.",Inactive,17/01/2012 00:00:03 onwards,"Impose on all P, E, R, and M",Mar-16
4,9,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, DMIRS. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMIRS.",Active,01/07/2017 00:00:01 onwards,"Impose on all P, E, R, and M",Mar-18
4,10,Standards for Tenement Types,Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines, Industry Regulation and Safety. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, Department of Mines, Industry Regulation and Safety.",Active,27/11/2018 00:00:02 onwards,"Impose on all P, E, R, M and G",Feb-20
5,4,Standards for Tenement Types,Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic),Condition,"All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration program.",Active,17/01/2012 00:00:02 onwards,"Impose on all P, E, R and M",Feb-20
5,4,Standards for Tenement Types,Exploration Licence (Basic) Retention Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic),Condition,"All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration program.",Active,17/01/2012 00:00:02 onwards,"Impose on all P, E, R and M",Mar-18
