"Identifier","Version No","Category","Topics","Type","Text","Status","Version Date","Notation","Document Version","Regex"
"1","1","Standards for Tenement Types","General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic)","Condition","Survey.","Inactive","01/01/2000 00:00:00 onwards","","Jun-17","(?i)^[\s?.*-:]*Survey[\s?.*-:]*$"
"2","3","Standards for Tenement Types","Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining - operations) Mining Lease for Gold (Basic) Miscellaneous Licence (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Endorsement","The **LESSEE**'s attention is drawn to the provisions of the Aboriginal Heritage Act 1972 and any Regulations thereunder.","Active","20/11/2006 00:00:00 - onwards","Imposed on ALL Tenements..","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+.+[^A-Z0-9]+s[^A-Z0-9]+attention[^A-Z0-9]+is[^A-Z0-9]+drawn[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+provisions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Aboriginal[^A-Z0-9]+Heritage[^A-Z0-9]+Act[^A-Z0-9]+1972[^A-Z0-9]+and[^A-Z0-9]+any[^A-Z0-9]+Regulations[^A-Z0-9]+thereunder[\s?.*-:]*$"
"3","5","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","All surface holes drilled for the purpose of exploration are to be capped, filled or otherwise made safe immediately after completion.","Inactive","17/01/2012 00:00:02 onwards","Impose on all P, E, R and M","Jun-17","(?i)^[\s?.*-:]*All[^A-Z0-9]+surface[^A-Z0-9]+holes[^A-Z0-9]+drilled[^A-Z0-9]+for[^A-Z0-9]+the[^A-Z0-9]+purpose[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+are[^A-Z0-9]+to[^A-Z0-9]+be[^A-Z0-9]+capped[^A-Z0-9]+filled[^A-Z0-9]+or[^A-Z0-9]+otherwise[^A-Z0-9]+made[^A-Z0-9]+safe[^A-Z0-9]+immediately[^A-Z0-9]+after[^A-Z0-9]+completion[\s?.*-:]*$"
"4","8","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines and Petroleum (DMP). Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMP.","Active","17/01/2012 00:00:03 onwards","Impose on all P, E, R, and M","Jun-17","(?i)^[\s?.*-:]*All[^A-Z0-9]+disturbances[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+surface[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+made[^A-Z0-9]+as[^A-Z0-9]+a[^A-Z0-9]+result[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+including[^A-Z0-9]+costeans[^A-Z0-9]+drill[^A-Z0-9]+pads[^A-Z0-9]+grid[^A-Z0-9]+lines[^A-Z0-9]+and[^A-Z0-9]+access[^A-Z0-9]+tracks[^A-Z0-9]+being[^A-Z0-9]+backfilled[^A-Z0-9]+and[^A-Z0-9]+rehabilitated[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+satisfaction[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+and[^A-Z0-9]+Petroleum[^A-Z0-9]+DMP[^A-Z0-9]+Backfilling[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+being[^A-Z0-9]+required[^A-Z0-9]+no[^A-Z0-9]+later[^A-Z0-9]+than[^A-Z0-9]+6[^A-Z0-9]+months[^A-Z0-9]+after[^A-Z0-9]+excavation[^A-Z0-9]+unless[^A-Z0-9]+otherwise[^A-Z0-9]+approved[^A-Z0-9]+in[^A-Z0-9]+writing[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+DMP[\s?.*-:]*$"
"4","9","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, DMIRS. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMIRS.","Active","01/07/2017 00:00:01 onwards","Impose on all P, E, R, and M","Mar-18","(?i)^[\s?.*-:]*All[^A-Z0-9]+disturbances[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+surface[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+made[^A-Z0-9]+as[^A-Z0-9]+a[^A-Z0-9]+result[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+including[^A-Z0-9]+costeans[^A-Z0-9]+drill[^A-Z0-9]+pads[^A-Z0-9]+grid[^A-Z0-9]+lines[^A-Z0-9]+and[^A-Z0-9]+access[^A-Z0-9]+tracks[^A-Z0-9]+being[^A-Z0-9]+backfilled[^A-Z0-9]+and[^A-Z0-9]+rehabilitated[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+satisfaction[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+DMIRS[^A-Z0-9]+Backfilling[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+being[^A-Z0-9]+required[^A-Z0-9]+no[^A-Z0-9]+later[^A-Z0-9]+than[^A-Z0-9]+6[^A-Z0-9]+months[^A-Z0-9]+after[^A-Z0-9]+excavation[^A-Z0-9]+unless[^A-Z0-9]+otherwise[^A-Z0-9]+approved[^A-Z0-9]+in[^A-Z0-9]+writing[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+DMIRS[\s?.*-:]*$"
"4","10","Standards for Tenement Types","Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines, Industry Regulation and Safety. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, Department of Mines, Industry Regulation and Safety.","Active","27/11/2018 00:00:02 onwards","Impose on all P, E, R, M and G","Feb-20","(?i)^[\s?.*-:]*All[^A-Z0-9]+disturbances[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+surface[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+made[^A-Z0-9]+as[^A-Z0-9]+a[^A-Z0-9]+result[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+including[^A-Z0-9]+costeans[^A-Z0-9]+drill[^A-Z0-9]+pads[^A-Z0-9]+grid[^A-Z0-9]+lines[^A-Z0-9]+and[^A-Z0-9]+access[^A-Z0-9]+tracks[^A-Z0-9]+being[^A-Z0-9]+backfilled[^A-Z0-9]+and[^A-Z0-9]+rehabilitated[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+satisfaction[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+Industry[^A-Z0-9]+Regulation[^A-Z0-9]+and[^A-Z0-9]+Safety[^A-Z0-9]+Backfilling[^A-Z0-9]+and[^A-Z0-9]+rehabilitation[^A-Z0-9]+being[^A-Z0-9]+required[^A-Z0-9]+no[^A-Z0-9]+later[^A-Z0-9]+than[^A-Z0-9]+6[^A-Z0-9]+months[^A-Z0-9]+after[^A-Z0-9]+excavation[^A-Z0-9]+unless[^A-Z0-9]+otherwise[^A-Z0-9]+approved[^A-Z0-9]+in[^A-Z0-9]+writing[^A-Z0-9]+by[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+Industry[^A-Z0-9]+Regulation[^A-Z0-9]+and[^A-Z0-9]+Safety[\s?.*-:]*$"
"5","4","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration program.","Active","17/01/2012 00:00:02 onwards","Impose on all P, E, R and M","Feb-20","(?i)^[\s?.*-:]*All[^A-Z0-9]+waste[^A-Z0-9]+materials[^A-Z0-9]+rubbish[^A-Z0-9]+plastic[^A-Z0-9]+sample[^A-Z0-9]+bags[^A-Z0-9]+abandoned[^A-Z0-9]+equipment[^A-Z0-9]+and[^A-Z0-9]+temporary[^A-Z0-9]+buildings[^A-Z0-9]+being[^A-Z0-9]+removed[^A-Z0-9]+from[^A-Z0-9]+the[^A-Z0-9]+mining[^A-Z0-9]+tenement[^A-Z0-9]+prior[^A-Z0-9]+to[^A-Z0-9]+or[^A-Z0-9]+at[^A-Z0-9]+the[^A-Z0-9]+termination[^A-Z0-9]+of[^A-Z0-9]+exploration[^A-Z0-9]+program[\s?.*-:]*$"
"6","8","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","Unless the written approval of the Environmental Officer, DMP is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.","Active","01/01/2009 00:00:00 onwards","Impose on all P, E, R and M","Jun-17","(?i)^[\s?.*-:]*Unless[^A-Z0-9]+the[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+DMP[^A-Z0-9]+is[^A-Z0-9]+first[^A-Z0-9]+obtained[^A-Z0-9]+the[^A-Z0-9]+use[^A-Z0-9]+of[^A-Z0-9]+drilling[^A-Z0-9]+rigs[^A-Z0-9]+scrapers[^A-Z0-9]+graders[^A-Z0-9]+bulldozers[^A-Z0-9]+backhoes[^A-Z0-9]+or[^A-Z0-9]+other[^A-Z0-9]+mechanised[^A-Z0-9]+equipment[^A-Z0-9]+for[^A-Z0-9]+surface[^A-Z0-9]+disturbance[^A-Z0-9]+or[^A-Z0-9]+the[^A-Z0-9]+excavation[^A-Z0-9]+of[^A-Z0-9]+costeans[^A-Z0-9]+is[^A-Z0-9]+prohibited[^A-Z0-9]+Following[^A-Z0-9]+approval[^A-Z0-9]+all[^A-Z0-9]+topsoil[^A-Z0-9]+being[^A-Z0-9]+removed[^A-Z0-9]+ahead[^A-Z0-9]+of[^A-Z0-9]+mining[^A-Z0-9]+operations[^A-Z0-9]+and[^A-Z0-9]+separately[^A-Z0-9]+stockpiled[^A-Z0-9]+for[^A-Z0-9]+replacement[^A-Z0-9]+after[^A-Z0-9]+backfilling[^A-Z0-9]+and[^A-Z0-9]+or[^A-Z0-9]+completion[^A-Z0-9]+of[^A-Z0-9]+operations[\s?.*-:]*$"
"6","9","Standards for Tenement Types","Exploration Licence (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","Unless the written approval of the Environmental Officer, DMIRS is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.","Active","01/07/2017 00:00:01 onwards","Impose on all P, E, R and M","Mar-18","(?i)^[\s?.*-:]*Unless[^A-Z0-9]+the[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+DMIRS[^A-Z0-9]+is[^A-Z0-9]+first[^A-Z0-9]+obtained[^A-Z0-9]+the[^A-Z0-9]+use[^A-Z0-9]+of[^A-Z0-9]+drilling[^A-Z0-9]+rigs[^A-Z0-9]+scrapers[^A-Z0-9]+graders[^A-Z0-9]+bulldozers[^A-Z0-9]+backhoes[^A-Z0-9]+or[^A-Z0-9]+other[^A-Z0-9]+mechanised[^A-Z0-9]+equipment[^A-Z0-9]+for[^A-Z0-9]+surface[^A-Z0-9]+disturbance[^A-Z0-9]+or[^A-Z0-9]+the[^A-Z0-9]+excavation[^A-Z0-9]+of[^A-Z0-9]+costeans[^A-Z0-9]+is[^A-Z0-9]+prohibited[^A-Z0-9]+Following[^A-Z0-9]+approval[^A-Z0-9]+all[^A-Z0-9]+topsoil[^A-Z0-9]+being[^A-Z0-9]+removed[^A-Z0-9]+ahead[^A-Z0-9]+of[^A-Z0-9]+mining[^A-Z0-9]+operations[^A-Z0-9]+and[^A-Z0-9]+separately[^A-Z0-9]+stockpiled[^A-Z0-9]+for[^A-Z0-9]+replacement[^A-Z0-9]+after[^A-Z0-9]+backfilling[^A-Z0-9]+and[^A-Z0-9]+or[^A-Z0-9]+completion[^A-Z0-9]+of[^A-Z0-9]+operations[\s?.*-:]*$"
"6","10","Standards for Tenement Types","Exploration Licence (Basic) General Purpose Lease (Basic) Mining Lease (Basic) Mining Lease (Ongoing mining operations) Mining Lease for Gold (Basic) Prospecting Licence (Basic) Prospecting Licence for Gold (Basic) Retention Licence (Basic)","Condition","Unless the written approval of the Environmental Officer, Department of Mines, Industry Regulation and Safety is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.","Active","27/11/2018 00:00:02 onwards","Impose on all P, E, R, M and G","Feb-20","(?i)^[\s?.*-:]*Unless[^A-Z0-9]+the[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Environmental[^A-Z0-9]+Officer[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+Industry[^A-Z0-9]+Regulation[^A-Z0-9]+and[^A-Z0-9]+Safety[^A-Z0-9]+is[^A-Z0-9]+first[^A-Z0-9]+obtained[^A-Z0-9]+the[^A-Z0-9]+use[^A-Z0-9]+of[^A-Z0-9]+drilling[^A-Z0-9]+rigs[^A-Z0-9]+scrapers[^A-Z0-9]+graders[^A-Z0-9]+bulldozers[^A-Z0-9]+backhoes[^A-Z0-9]+or[^A-Z0-9]+other[^A-Z0-9]+mechanised[^A-Z0-9]+equipment[^A-Z0-9]+for[^A-Z0-9]+surface[^A-Z0-9]+disturbance[^A-Z0-9]+or[^A-Z0-9]+the[^A-Z0-9]+excavation[^A-Z0-9]+of[^A-Z0-9]+costeans[^A-Z0-9]+is[^A-Z0-9]+prohibited[^A-Z0-9]+Following[^A-Z0-9]+approval[^A-Z0-9]+all[^A-Z0-9]+topsoil[^A-Z0-9]+being[^A-Z0-9]+removed[^A-Z0-9]+ahead[^A-Z0-9]+of[^A-Z0-9]+mining[^A-Z0-9]+operations[^A-Z0-9]+and[^A-Z0-9]+separately[^A-Z0-9]+stockpiled[^A-Z0-9]+for[^A-Z0-9]+replacement[^A-Z0-9]+after[^A-Z0-9]+backfilling[^A-Z0-9]+and[^A-Z0-9]+or[^A-Z0-9]+completion[^A-Z0-9]+of[^A-Z0-9]+operations[\s?.*-:]*$"
